Date,Open,High,Low,Close,Adj Close,Volume
1973-06-21,0.000000,8.250000,7.875000,7.875000,3.666451,1000
1973-06-22,0.000000,8.375000,8.000000,8.000000,3.724650,1000
1973-06-25,0.000000,8.375000,8.000000,8.000000,3.724650,400
1973-06-26,8.000000,8.000000,8.000000,8.000000,3.724650,0
1973-06-27,8.000000,8.000000,8.000000,8.000000,3.724650,0
1973-06-28,0.000000,8.375000,8.000000,8.000000,3.724650,600
1973-06-29,0.000000,8.375000,8.000000,8.000000,3.724650,600
1973-07-02,0.000000,8.375000,8.000000,8.000000,3.724650,600
1973-07-03,0.000000,8.375000,8.000000,8.000000,3.724650,800
1973-07-05,0.000000,8.250000,7.875000,7.875000,3.666451,2400
1973-07-06,0.000000,8.250000,7.875000,7.875000,3.666451,400
1973-07-09,0.000000,8.375000,8.000000,8.000000,3.724650,800
1973-07-10,0.000000,8.375000,8.000000,8.000000,3.724650,600
1973-07-11,0.000000,8.375000,8.000000,8.000000,3.724650,2600
1973-07-12,0.000000,8.375000,8.000000,8.000000,3.724650,2000
1973-07-13,0.000000,8.375000,8.000000,8.000000,3.724650,2000
1973-07-16,0.000000,8.375000,8.000000,8.000000,3.724650,200
1973-07-17,0.000000,8.625000,8.250000,8.250000,3.841043,1400
1973-07-18,0.000000,8.875000,8.500000,8.500000,3.957439,8400
1973-07-19,0.000000,8.875000,8.500000,8.500000,3.957439,200
1973-07-20,0.000000,8.750000,8.375000,8.375000,3.899241,200
1973-07-23,0.000000,8.750000,8.375000,8.375000,3.899241,600
1973-07-24,0.000000,8.750000,8.375000,8.375000,3.899241,4400
1973-07-25,0.000000,8.750000,8.375000,8.375000,3.899241,600
1973-07-26,0.000000,8.750000,8.375000,8.375000,3.899241,800
1973-07-27,0.000000,8.750000,8.375000,8.375000,3.899241,1000
1973-07-30,0.000000,8.625000,8.250000,8.250000,3.841043,600
1973-07-31,0.000000,8.625000,8.250000,8.250000,3.841043,2000
1973-08-01,0.000000,7.875000,7.500000,7.500000,3.491858,1600
1973-08-02,0.000000,7.875000,7.500000,7.500000,3.491858,1200
1973-08-03,0.000000,7.875000,7.375000,7.375000,3.433661,800
1973-08-06,0.000000,8.000000,7.500000,7.500000,3.491858,400
1973-08-07,0.000000,7.500000,7.125000,7.125000,3.317266,2200
1973-08-08,0.000000,7.125000,6.750000,6.750000,3.142672,800
1973-08-09,0.000000,7.500000,7.125000,7.125000,3.317266,1200
1973-08-10,0.000000,7.500000,7.125000,7.125000,3.317266,400
1973-08-13,0.000000,7.375000,7.000000,7.000000,3.259068,200
1973-08-14,0.000000,6.875000,6.500000,6.500000,3.026278,800
1973-08-15,0.000000,6.625000,6.250000,6.250000,2.909882,2400
1973-08-16,0.000000,6.875000,6.500000,6.500000,3.026278,4800
1973-08-17,0.000000,7.125000,6.750000,6.750000,3.142672,600
1973-08-20,0.000000,7.000000,6.625000,6.625000,3.084475,1200
1973-08-21,0.000000,6.875000,6.500000,6.500000,3.026278,400
1973-08-22,0.000000,6.875000,6.500000,6.500000,3.026278,2200
1973-08-23,0.000000,6.875000,6.500000,6.500000,3.026278,200
1973-08-24,0.000000,6.875000,6.500000,6.500000,3.026278,200
1973-08-27,0.000000,6.875000,6.500000,6.500000,3.026278,600
1973-08-28,0.000000,6.875000,6.500000,6.500000,3.026278,400
1973-08-29,0.000000,6.750000,6.375000,6.375000,2.968078,1400
1973-08-30,0.000000,6.875000,6.500000,6.500000,3.026278,4400
1973-08-31,0.000000,6.875000,6.500000,6.500000,3.026278,800
1973-09-04,6.500000,6.500000,6.500000,6.500000,3.026278,0
1973-09-05,0.000000,6.875000,6.500000,6.500000,3.026278,1200
1973-09-06,0.000000,6.875000,6.500000,6.500000,3.026278,400
1973-09-07,0.000000,7.000000,6.625000,6.625000,3.084475,800
1973-09-10,6.625000,6.625000,6.625000,6.625000,3.084475,0
1973-09-11,0.000000,6.875000,6.500000,6.500000,3.026278,1200
1973-09-12,0.000000,6.750000,6.375000,6.375000,2.968078,1000
1973-09-13,0.000000,6.750000,6.375000,6.375000,2.968078,600
1973-09-14,0.000000,6.750000,6.375000,6.375000,2.968078,1000
1973-09-17,0.000000,6.750000,6.375000,6.375000,2.968078,600
1973-09-18,0.000000,6.500000,6.125000,6.125000,2.851685,1800
1973-09-19,0.000000,6.375000,6.000000,6.000000,2.793487,1600
1973-09-20,0.000000,6.625000,6.250000,6.250000,2.909882,2200
1973-09-21,0.000000,6.625000,6.250000,6.250000,2.909882,1000
1973-09-24,0.000000,6.500000,6.125000,6.125000,2.851685,2600
1973-09-25,0.000000,6.125000,5.750000,5.750000,2.677091,3600
1973-09-26,0.000000,6.125000,5.750000,5.750000,2.677091,2800
1973-09-27,0.000000,6.625000,6.250000,6.250000,2.909882,3400
1973-09-28,0.000000,6.625000,6.250000,6.250000,2.909882,1400
1973-10-01,0.000000,6.625000,6.250000,6.250000,2.909882,800
1973-10-02,0.000000,6.625000,6.250000,6.250000,2.909882,200
1973-10-03,0.000000,6.500000,6.125000,6.125000,2.851685,3400
1973-10-04,0.000000,6.250000,5.875000,5.875000,2.735288,4400
1973-10-05,0.000000,6.250000,5.875000,5.875000,2.735288,600
1973-10-08,0.000000,6.125000,5.750000,5.750000,2.677091,1200
1973-10-09,0.000000,6.125000,5.750000,5.750000,2.677091,3200
1973-10-10,0.000000,6.125000,5.750000,5.750000,2.677091,600
1973-10-11,0.000000,6.250000,5.875000,5.875000,2.735288,1400
1973-10-12,0.000000,6.500000,6.125000,6.125000,2.851685,2800
1973-10-15,0.000000,6.500000,6.125000,6.125000,2.851685,600
1973-10-16,0.000000,6.500000,6.125000,6.125000,2.851685,1000
1973-10-17,0.000000,6.625000,6.250000,6.250000,2.909882,1200
1973-10-18,0.000000,6.500000,6.125000,6.125000,2.851685,2600
1973-10-19,0.000000,6.625000,6.250000,6.250000,2.909882,600
1973-10-22,0.000000,6.500000,6.125000,6.125000,2.851685,2800
1973-10-23,0.000000,6.125000,5.750000,5.750000,2.677091,4600
1973-10-24,0.000000,5.875000,5.500000,5.500000,2.560696,4800
1973-10-25,0.000000,5.375000,5.000000,5.000000,2.327906,5000
1973-10-26,0.000000,5.875000,5.500000,5.500000,2.560696,1400
1973-10-29,0.000000,5.750000,5.375000,5.375000,2.502499,2800
1973-10-30,0.000000,5.500000,5.125000,5.125000,2.386104,2800
1973-10-31,0.000000,6.000000,5.625000,5.625000,2.618895,1600
1973-11-01,0.000000,6.000000,5.625000,5.625000,2.618895,400
1973-11-02,0.000000,6.000000,5.625000,5.625000,2.618895,1000
1973-11-05,0.000000,5.875000,5.500000,5.500000,2.560696,1200
1973-11-06,0.000000,5.750000,5.375000,5.375000,2.502499,1000
